Source;Target;Type;Label
2;4;Undirected;the study of cognitive radio prediction based on big data
2;0;Undirected;the study of cognitive radio prediction based on big data
2;3;Undirected;the study of cognitive radio prediction based on big data
2;1;Undirected;the study of cognitive radio prediction based on big data
3;4;Undirected;the study of cognitive radio prediction based on big data
3;0;Undirected;the study of cognitive radio prediction based on big data
3;1;Undirected;the study of cognitive radio prediction based on big data
5;8;Undirected;big data challenges and data aggregation strategies in wireless sensor networks
5;7;Undirected;big data challenges and data aggregation strategies in wireless sensor networks
5;6;Undirected;big data challenges and data aggregation strategies in wireless sensor networks
6;8;Undirected;big data challenges and data aggregation strategies in wireless sensor networks
6;7;Undirected;big data challenges and data aggregation strategies in wireless sensor networks
7;8;Undirected;big data challenges and data aggregation strategies in wireless sensor networks
9;10;Undirected;the practice teaching system of big data talent training in universities
10;13;Undirected;teaching system structure in financial college based on big data
10;11;Undirected;professional big data technology training courses in universities
11;12;Undirected;professional big data technology training courses in universities
16;21;Undirected;design of big data platform for tft-lcd line yield analysis
16;20;Undirected;design of big data platform for tft-lcd line yield analysis
16;14;Undirected;design of big data platform for tft-lcd line yield analysis
16;19;Undirected;design of big data platform for tft-lcd line yield analysis
16;18;Undirected;design of big data platform for tft-lcd line yield analysis
16;17;Undirected;design of big data platform for tft-lcd line yield analysis
16;15;Undirected;design of big data platform for tft-lcd line yield analysis
17;21;Undirected;design of big data platform for tft-lcd line yield analysis
17;20;Undirected;design of big data platform for tft-lcd line yield analysis
17;14;Undirected;design of big data platform for tft-lcd line yield analysis
17;19;Undirected;design of big data platform for tft-lcd line yield analysis
17;15;Undirected;design of big data platform for tft-lcd line yield analysis
18;21;Undirected;design of big data platform for tft-lcd line yield analysis
18;20;Undirected;design of big data platform for tft-lcd line yield analysis
18;14;Undirected;design of big data platform for tft-lcd line yield analysis
18;19;Undirected;design of big data platform for tft-lcd line yield analysis
18;15;Undirected;design of big data platform for tft-lcd line yield analysis
19;21;Undirected;design of big data platform for tft-lcd line yield analysis
19;20;Undirected;design of big data platform for tft-lcd line yield analysis
19;14;Undirected;design of big data platform for tft-lcd line yield analysis
19;15;Undirected;design of big data platform for tft-lcd line yield analysis
22;24;Undirected;big data hysteria, cognizance and scope
22;23;Undirected;big data hysteria, cognizance and scope
23;24;Undirected;big data hysteria, cognizance and scope
25;26;Undirected;the wisdom city based on the big data technology
27;28;Undirected;a big data on private cloud agile provisioning framework based on openstack
29;36;Undirected;time performance analysis of multi-cpu and multi-gpu in big data clustering computation
29;35;Undirected;time performance analysis of multi-cpu and multi-gpu in big data clustering computation
29;34;Undirected;time performance analysis of multi-cpu and multi-gpu in big data clustering computation
29;30;Undirected;time performance analysis of multi-cpu and multi-gpu in big data clustering computation
31;36;Undirected;time performance analysis of multi-cpu and multi-gpu in big data clustering computation
31;35;Undirected;time performance analysis of multi-cpu and multi-gpu in big data clustering computation
31;34;Undirected;time performance analysis of multi-cpu and multi-gpu in big data clustering computation
31;29;Undirected;time performance analysis of multi-cpu and multi-gpu in big data clustering computation
31;33;Undirected;time performance analysis of multi-cpu and multi-gpu in big data clustering computation
31;32;Undirected;time performance analysis of multi-cpu and multi-gpu in big data clustering computation
31;30;Undirected;time performance analysis of multi-cpu and multi-gpu in big data clustering computation
32;36;Undirected;time performance analysis of multi-cpu and multi-gpu in big data clustering computation
32;35;Undirected;time performance analysis of multi-cpu and multi-gpu in big data clustering computation
32;34;Undirected;time performance analysis of multi-cpu and multi-gpu in big data clustering computation
32;29;Undirected;time performance analysis of multi-cpu and multi-gpu in big data clustering computation
32;30;Undirected;time performance analysis of multi-cpu and multi-gpu in big data clustering computation
33;36;Undirected;time performance analysis of multi-cpu and multi-gpu in big data clustering computation
33;35;Undirected;time performance analysis of multi-cpu and multi-gpu in big data clustering computation
33;34;Undirected;time performance analysis of multi-cpu and multi-gpu in big data clustering computation
33;29;Undirected;time performance analysis of multi-cpu and multi-gpu in big data clustering computation
33;30;Undirected;time performance analysis of multi-cpu and multi-gpu in big data clustering computation
37;59;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
37;58;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
37;57;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
37;56;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
37;55;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
37;54;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
37;53;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
37;52;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
37;51;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
37;50;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
39;59;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
39;58;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
39;57;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
39;56;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
39;55;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
39;54;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
39;53;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
39;52;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
39;51;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
39;50;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
39;49;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
39;48;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
39;37;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
39;41;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
39;40;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
40;59;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
40;58;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
40;57;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
40;56;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
40;55;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
40;54;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
40;53;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
40;52;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
40;51;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
40;50;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
40;41;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
41;59;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
41;58;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
41;57;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
41;56;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
41;55;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
41;54;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
41;53;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
41;52;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
41;51;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
41;50;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
42;59;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
42;58;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
42;57;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
42;56;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
42;55;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
42;54;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
42;53;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
42;52;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
42;51;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
42;50;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
43;59;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
43;58;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
43;57;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
43;56;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
43;55;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
43;54;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
43;53;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
43;52;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
43;51;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
43;50;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
44;59;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
44;58;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
44;57;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
44;56;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
44;55;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
44;54;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
44;53;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
44;52;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
44;51;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
44;50;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
45;59;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
45;58;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
45;57;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
45;56;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
45;55;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
45;54;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
45;53;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
45;52;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
45;51;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
45;50;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
46;59;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
46;58;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
46;57;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
46;56;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
46;55;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
46;54;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
46;53;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
46;52;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
46;51;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
46;50;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
47;59;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
47;58;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
47;57;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
47;56;Undirected;performance/outcomes data and physician process challenges for practical big data efforts in radiation oncology
