Source;Target;Type;Label
0;4;Undirected;measurement metric proposed for big data analytics system
0;3;Undirected;measurement metric proposed for big data analytics system
0;2;Undirected;measurement metric proposed for big data analytics system
0;1;Undirected;measurement metric proposed for big data analytics system
2;4;Undirected;measurement metric proposed for big data analytics system
2;3;Undirected;measurement metric proposed for big data analytics system
2;1;Undirected;measurement metric proposed for big data analytics system
7;5;Undirected;profit maximization auction and data management in big data markets
7;9;Undirected;profit maximization auction and data management in big data markets
7;8;Undirected;profit maximization auction and data management in big data markets
7;6;Undirected;profit maximization auction and data management in big data markets
8;5;Undirected;profit maximization auction and data management in big data markets
8;9;Undirected;profit maximization auction and data management in big data markets
8;6;Undirected;profit maximization auction and data management in big data markets
10;12;Undirected;exploring complex and big data
10;11;Undirected;exploring complex and big data
11;12;Undirected;exploring complex and big data
13;17;Undirected;analysis and research on the development and application of big data in foshan
13;17;Undirected;countermeasures to improve local government governance capability by using big data
14;17;Undirected;analysis and research on the development and application of big data in foshan
14;13;Undirected;analysis and research on the development and application of big data in foshan
14;16;Undirected;analysis and research on the development and application of big data in foshan
14;15;Undirected;analysis and research on the development and application of big data in foshan
14;17;Undirected;countermeasures to improve local government governance capability by using big data
14;16;Undirected;countermeasures to improve local government governance capability by using big data
14;15;Undirected;countermeasures to improve local government governance capability by using big data
14;13;Undirected;countermeasures to improve local government governance capability by using big data
15;17;Undirected;analysis and research on the development and application of big data in foshan
15;13;Undirected;analysis and research on the development and application of big data in foshan
15;16;Undirected;analysis and research on the development and application of big data in foshan
15;17;Undirected;countermeasures to improve local government governance capability by using big data
15;16;Undirected;countermeasures to improve local government governance capability by using big data
15;13;Undirected;countermeasures to improve local government governance capability by using big data
16;17;Undirected;analysis and research on the development and application of big data in foshan
16;13;Undirected;analysis and research on the development and application of big data in foshan
16;17;Undirected;countermeasures to improve local government governance capability by using big data
16;13;Undirected;countermeasures to improve local government governance capability by using big data
19;22;Undirected;a novel distributed recommendation framework using big data in social context
19;21;Undirected;a novel distributed recommendation framework using big data in social context
19;20;Undirected;a novel distributed recommendation framework using big data in social context
19;18;Undirected;a novel distributed recommendation framework using big data in social context
20;22;Undirected;a novel distributed recommendation framework using big data in social context
20;21;Undirected;a novel distributed recommendation framework using big data in social context
20;18;Undirected;a novel distributed recommendation framework using big data in social context
23;30;Undirected;an interface for biomedical big data processing on the tianhe-2 supercomputer
23;29;Undirected;an interface for biomedical big data processing on the tianhe-2 supercomputer
23;27;Undirected;an interface for biomedical big data processing on the tianhe-2 supercomputer
24;30;Undirected;an interface for biomedical big data processing on the tianhe-2 supercomputer
24;29;Undirected;an interface for biomedical big data processing on the tianhe-2 supercomputer
24;23;Undirected;an interface for biomedical big data processing on the tianhe-2 supercomputer
24;28;Undirected;an interface for biomedical big data processing on the tianhe-2 supercomputer
24;27;Undirected;an interface for biomedical big data processing on the tianhe-2 supercomputer
24;26;Undirected;an interface for biomedical big data processing on the tianhe-2 supercomputer
25;30;Undirected;an interface for biomedical big data processing on the tianhe-2 supercomputer
25;29;Undirected;an interface for biomedical big data processing on the tianhe-2 supercomputer
25;23;Undirected;an interface for biomedical big data processing on the tianhe-2 supercomputer
25;28;Undirected;an interface for biomedical big data processing on the tianhe-2 supercomputer
25;27;Undirected;an interface for biomedical big data processing on the tianhe-2 supercomputer
25;26;Undirected;an interface for biomedical big data processing on the tianhe-2 supercomputer
26;30;Undirected;an interface for biomedical big data processing on the tianhe-2 supercomputer
26;29;Undirected;an interface for biomedical big data processing on the tianhe-2 supercomputer
26;27;Undirected;an interface for biomedical big data processing on the tianhe-2 supercomputer
27;31;Undirected;medical big data web service management platform
28;30;Undirected;an interface for biomedical big data processing on the tianhe-2 supercomputer
28;29;Undirected;an interface for biomedical big data processing on the tianhe-2 supercomputer
28;23;Undirected;an interface for biomedical big data processing on the tianhe-2 supercomputer
28;27;Undirected;an interface for biomedical big data processing on the tianhe-2 supercomputer
29;27;Undirected;an interface for biomedical big data processing on the tianhe-2 supercomputer
30;27;Undirected;an interface for biomedical big data processing on the tianhe-2 supercomputer
32;31;Undirected;medical big data web service management platform
33;35;Undirected;research on big data - a systematic mapping study
33;34;Undirected;research on big data - a systematic mapping study
34;35;Undirected;research on big data - a systematic mapping study
36;39;Undirected;on influence, opportunities and challenges of big data to government statistics
37;39;Undirected;on influence, opportunities and challenges of big data to government statistics
37;36;Undirected;on influence, opportunities and challenges of big data to government statistics
37;38;Undirected;on influence, opportunities and challenges of big data to government statistics
38;39;Undirected;on influence, opportunities and challenges of big data to government statistics
38;36;Undirected;on influence, opportunities and challenges of big data to government statistics
40;43;Undirected;big spatial data processing with apache spark
40;42;Undirected;big spatial data processing with apache spark
40;41;Undirected;big spatial data processing with apache spark
41;43;Undirected;big spatial data processing with apache spark
41;42;Undirected;big spatial data processing with apache spark
42;43;Undirected;big spatial data processing with apache spark
44;45;Undirected;big data and smart (equitable) cities
46;51;Undirected;big earth data: a new challenge and opportunity for digital earth's development
46;50;Undirected;big earth data: a new challenge and opportunity for digital earth's development
46;49;Undirected;big earth data: a new challenge and opportunity for digital earth's development
46;47;Undirected;big earth data: a new challenge and opportunity for digital earth's development
48;51;Undirected;big earth data: a new challenge and opportunity for digital earth's development
48;50;Undirected;big earth data: a new challenge and opportunity for digital earth's development
48;49;Undirected;big earth data: a new challenge and opportunity for digital earth's development
48;46;Undirected;big earth data: a new challenge and opportunity for digital earth's development
48;47;Undirected;big earth data: a new challenge and opportunity for digital earth's development
52;54;Undirected;simplifying big data analytics systems with a reference architecture
52;53;Undirected;simplifying big data analytics systems with a reference architecture
53;54;Undirected;simplifying big data analytics systems with a reference architecture
55;57;Undirected;comparative study of tools for big data analytics: an analytical study
55;56;Undirected;comparative study of tools for big data analytics: an analytical study
56;57;Undirected;comparative study of tools for big data analytics: an analytical study
60;63;Undirected;patent abstract analysis on chinese big data
60;62;Undirected;patent abstract analysis on chinese big data
60;58;Undirected;patent abstract analysis on chinese big data
60;61;Undirected;patent abstract analysis on chinese big data
60;59;Undirected;patent abstract analysis on chinese big data
61;63;Undirected;patent abstract analysis on chinese big data
61;62;Undirected;patent abstract analysis on chinese big data
61;58;Undirected;patent abstract analysis on chinese big data
61;59;Undirected;patent abstract analysis on chinese big data
65;64;Undirected;application of big data in online education in china
65;66;Undirected;application of big data in online education in china
66;64;Undirected;application of big data in online education in china
68;67;Undirected;big data knowledge in global health education
68;70;Undirected;big data knowledge in global health education
68;69;Undirected;big data knowledge in global health education
69;67;Undirected;big data knowledge in global health education
69;70;Undirected;big data knowledge in global health education
70;67;Undirected;big data knowledge in global health education
71;73;Undirected;analysis and establishment of big data model
71;72;Undirected;analysis and establishment of big data model
72;73;Undirected;analysis and establishment of big data model
75;74;Undirected;can sensors collect big data? an energy-efficient big data gathering algorithm for a wsn
75;77;Undirected;can sensors collect big data? an energy-efficient big data gathering algorithm for a wsn
75;76;Undirected;can sensors collect big data? an energy-efficient big data gathering algorithm for a wsn
76;74;Undirected;can sensors collect big data? an energy-efficient big data gathering algorithm for a wsn
76;77;Undirected;can sensors collect big data? an energy-efficient big data gathering algorithm for a wsn
77;74;Undirected;can sensors collect big data? an energy-efficient big data gathering algorithm for a wsn
78;82;Undirected;big data and cloud computing: innovation opportunities and challenges
78;81;Undirected;big data and cloud computing: innovation opportunities and challenges
78;80;Undirected;big data and cloud computing: innovation opportunities and challenges
78;79;Undirected;big data and cloud computing: innovation opportunities and challenges
80;82;Undirected;big data and cloud computing: innovation opportunities and challenges
80;81;Undirected;big data and cloud computing: innovation opportunities and challenges
80;79;Undirected;big data and cloud computing: innovation opportunities and challenges
83;84;Undirected;a novel method of privacy-preserving based on compressive sensing for big data
85;86;Undirected;organizing successfully for big data to transform organizations
87;89;Undirected;data mining with big data revolution hybrid
87;88;Undirected;data mining with big data revolution hybrid
88;89;Undirected;data mining with big data revolution hybrid
