Source;Target;Type;Label
2;5;Undirected;research on the reform of physical education in colleges and universities under the background of big data era
2;0;Undirected;research on the reform of physical education in colleges and universities under the background of big data era
2;4;Undirected;research on the reform of physical education in colleges and universities under the background of big data era
2;3;Undirected;research on the reform of physical education in colleges and universities under the background of big data era
2;1;Undirected;research on the reform of physical education in colleges and universities under the background of big data era
3;5;Undirected;research on the reform of physical education in colleges and universities under the background of big data era
3;0;Undirected;research on the reform of physical education in colleges and universities under the background of big data era
3;4;Undirected;research on the reform of physical education in colleges and universities under the background of big data era
3;1;Undirected;research on the reform of physical education in colleges and universities under the background of big data era
6;8;Undirected;investigating the adoption of big data management in healthcare in jordan
6;7;Undirected;investigating the adoption of big data management in healthcare in jordan
7;8;Undirected;investigating the adoption of big data management in healthcare in jordan
9;14;Undirected;the role of big data for supply chain 4.0 in manufacturing organisations of developing countries
9;13;Undirected;the role of big data for supply chain 4.0 in manufacturing organisations of developing countries
9;12;Undirected;the role of big data for supply chain 4.0 in manufacturing organisations of developing countries
9;11;Undirected;the role of big data for supply chain 4.0 in manufacturing organisations of developing countries
9;10;Undirected;the role of big data for supply chain 4.0 in manufacturing organisations of developing countries
11;14;Undirected;the role of big data for supply chain 4.0 in manufacturing organisations of developing countries
11;13;Undirected;the role of big data for supply chain 4.0 in manufacturing organisations of developing countries
11;12;Undirected;the role of big data for supply chain 4.0 in manufacturing organisations of developing countries
11;10;Undirected;the role of big data for supply chain 4.0 in manufacturing organisations of developing countries
12;14;Undirected;the role of big data for supply chain 4.0 in manufacturing organisations of developing countries
12;13;Undirected;the role of big data for supply chain 4.0 in manufacturing organisations of developing countries
12;10;Undirected;the role of big data for supply chain 4.0 in manufacturing organisations of developing countries
15;18;Undirected;big data and human resource management research: an integrative review and new directions for future research
16;18;Undirected;big data and human resource management research: an integrative review and new directions for future research
16;15;Undirected;big data and human resource management research: an integrative review and new directions for future research
17;18;Undirected;big data and human resource management research: an integrative review and new directions for future research
17;15;Undirected;big data and human resource management research: an integrative review and new directions for future research
17;16;Undirected;big data and human resource management research: an integrative review and new directions for future research
19;18;Undirected;a bibliometric review of a decade of research: big data in business research-setting a research agenda
20;18;Undirected;a bibliometric review of a decade of research: big data in business research-setting a research agenda
21;18;Undirected;a bibliometric review of a decade of research: big data in business research-setting a research agenda
22;18;Undirected;a bibliometric review of a decade of research: big data in business research-setting a research agenda
23;18;Undirected;a bibliometric review of a decade of research: big data in business research-setting a research agenda
24;22;Undirected;development and application of big data in the field of satellite navigation
26;31;Undirected;educational big data: predictions, applications and challenges
26;30;Undirected;educational big data: predictions, applications and challenges
26;29;Undirected;educational big data: predictions, applications and challenges
26;28;Undirected;educational big data: predictions, applications and challenges
26;27;Undirected;educational big data: predictions, applications and challenges
26;25;Undirected;educational big data: predictions, applications and challenges
27;31;Undirected;educational big data: predictions, applications and challenges
27;30;Undirected;educational big data: predictions, applications and challenges
27;29;Undirected;educational big data: predictions, applications and challenges
27;25;Undirected;educational big data: predictions, applications and challenges
28;31;Undirected;educational big data: predictions, applications and challenges
28;30;Undirected;educational big data: predictions, applications and challenges
28;29;Undirected;educational big data: predictions, applications and challenges
28;25;Undirected;educational big data: predictions, applications and challenges
32;31;Undirected;sports big data: management, analysis, applications, and challenges
33;25;Undirected;guest editorial: scholarly big data
33;34;Undirected;guest editorial: scholarly big data
35;25;Undirected;guest editorial: scholarly big data
35;34;Undirected;guest editorial: scholarly big data
35;33;Undirected;guest editorial: scholarly big data
36;38;Undirected;conceptual modeling and smart computing for big transportation data
36;37;Undirected;conceptual modeling and smart computing for big transportation data
37;38;Undirected;conceptual modeling and smart computing for big transportation data
37;36;Undirected;conceptual modeling and smart computing for big transportation data
38;47;Undirected;distributed big data computing for supporting predictive analytics of service requests
38;46;Undirected;distributed big data computing for supporting predictive analytics of service requests
38;39;Undirected;distributed big data computing for supporting predictive analytics of service requests
38;39;Undirected;open data lake to support machine learning on arctic big data
38;39;Undirected;a bayesian framework for supporting predictive analytics over big transportation data
39;48;Undirected;privacy-preserving big data exchange: models, issues, future research directions
39;47;Undirected;distributed big data computing for supporting predictive analytics of service requests
39;46;Undirected;distributed big data computing for supporting predictive analytics of service requests
40;41;Undirected;a bayesian framework for supporting predictive analytics over big transportation data
40;38;Undirected;a bayesian framework for supporting predictive analytics over big transportation data
40;39;Undirected;a bayesian framework for supporting predictive analytics over big transportation data
